array_size,quikcTime
1000,0.1
2000,0.4
3000,0.4
4000,0.7
5000,0.3
6000,2.7
7000,4.7
8000,0.4
9000,1.9
10000,3.3
11000,2.2
12000,4.4
13000,1.9
14000,3
15000,1.8
16000,5.1
17000,5.9
18000,2.9
19000,4.7
20000,3.7
21000,7.6
22000,9.5
23000,6
24000,5.5
25000,5.8
26000,6.8
27000,4.1
28000,4.9
29000,4.3
30000,11.8
31000,5.2
32000,7.4
33000,7.2
34000,7.3
35000,9.6
36000,5.2
37000,10.6
38000,7.6
39000,7.6
40000,8.9
41000,10.9
42000,9.7
43000,9.2
44000,11.3
45000,7.7
46000,14.6
47000,11.8
48000,12.7
49000,15.1
50000,3.7
50000,15
51000,16
52000,16
53000,16
54000,15
55000,0
56000,15
57000,15
58000,16
59000,15
60000,16
61000,15
62000,16
63000,16
64000,16
65000,16
66000,0
67000,16
68000,16
69000,15
70000,16
71000,15
72000,15
73000,16
74000,16
75000,15
76000,15
77000,16
78000,31
79000,15
80000,15
81000,16
82000,16
83000,15
84000,15
85000,16
86000,32
87000,31
88000,31
89000,15
90000,16
91000,16
92000,31
93000,31
94000,15
95000,15
96000,31
97000,16
98000,16
99000,31
100000,16
101000,15
102000,31
103000,31
104000,31
105000,32
106000,31
107000,16
108000,32
109000,16
110000,32
111000,32
112000,16
113000,32
114000,32
115000,47
116000,31
117000,31
118000,32
119000,32
120000,32
121000,31
122000,31
123000,47
124000,32
125000,32
126000,47
127000,47
128000,32
129000,32
130000,47
131000,31
132000,31
133000,31
134000,31
135000,31
136000,31
137000,47
138000,32
139000,47
140000,47
141000,47
142000,31
143000,47
144000,47
145000,47
146000,47
147000,46
148000,47
149000,62
150000,31
151000,31
152000,47
153000,46
154000,47
155000,63
156000,47
157000,47
158000,46
159000,47
160000,31
161000,47
162000,47
163000,32
164000,64
165000,62
166000,63
167000,47
168000,62
169000,78
170000,62
171000,47
172000,47
173000,46
174000,63
175000,375
176000,93
177000,78
178000,78
179000,62
180000,78
181000,78
182000,63
183000,63
184000,47
185000,63
186000,78
187000,63
188000,63
189000,64
190000,62
191000,78
192000,62
193000,62
194000,46
195000,47
196000,47
197000,62
198000,78
199000,62
200000,79
201000,63
202000,78
203000,63
204000,63
205000,110
206000,78
207000,62
208000,78
209000,63
210000,62
211000,78
212000,62
213000,47
214000,47
215000,63
216000,93
217000,47
218000,79
219000,78
220000,78
221000,78
222000,63
223000,109
224000,78
225000,78
226000,62
227000,79
228000,62
229000,63
230000,63
231000,78
232000,78
233000,94
234000,78
235000,78
236000,93
237000,63
238000,78
239000,62
240000,62
241000,63
242000,94
243000,62
244000,94
245000,79
246000,78
247000,78
248000,203
249000,63
250000,78
251000,78
252000,93
253000,62
254000,63
255000,109
256000,78
257000,47
258000,78
259000,78
260000,78
261000,78
262000,110
263000,62
264000,63
265000,63
266000,62
267000,63
268000,78
269000,79
270000,63
271000,109
272000,78
273000,63
274000,79
275000,78
276000,94
277000,78
278000,62
279000,94
280000,78
281000,78
282000,78
283000,78
284000,78
285000,110
286000,78
287000,63
288000,110
289000,78
290000,94
291000,94
292000,94
293000,79
294000,94
295000,94
296000,94
297000,79
298000,79
299000,94
300000,94
301000,78
302000,109
303000,63
304000,93
305000,140
306000,78
307000,78
308000,109
309000,78
310000,79
311000,94
312000,78
313000,94
314000,78
315000,78
316000,78
317000,93
318000,78
319000,79
320000,94
321000,109
322000,94
323000,94
324000,109
325000,94
326000,79
327000,79
328000,79
329000,78
330000,93
331000,140
332000,94
333000,94
334000,78
335000,125
336000,93
337000,94
338000,94
339000,93
340000,94
341000,94
342000,78
343000,93
344000,94
345000,94
346000,93
347000,94
348000,94
349000,94
350000,78
351000,94
352000,94
353000,141
354000,297
355000,125
356000,94
357000,125
358000,110
359000,93
360000,110
361000,109
362000,94
363000,93
364000,78
365000,94
366000,94
367000,93
368000,94
369000,94
370000,94
371000,94
372000,109
373000,94
374000,93
375000,110
376000,93
377000,94
378000,94
379000,94
380000,109
381000,94
382000,94
383000,109
384000,94
385000,234
386000,94
387000,109
388000,125
389000,110
390000,187
391000,140
392000,109
393000,94
394000,109
395000,156
396000,110
397000,109
398000,125
399000,109
400000,109
401000,110
402000,109
403000,125
404000,109
405000,93
406000,110
407000,93
408000,109
409000,109
410000,110
411000,110
412000,109
413000,109
414000,125
415000,109
416000,266
417000,125
418000,141
419000,125
420000,110
421000,125
422000,112
423000,125
424000,110
425000,125
426000,110
427000,109
428000,172
429000,110
430000,109
431000,125
432000,109
433000,109
434000,141
435000,110
436000,109
437000,125
438000,125
439000,141
440000,172
441000,140
442000,125
443000,125
444000,125
445000,125
446000,125
447000,109
448000,125
449000,125
450000,156
451000,109
452000,109
453000,110
454000,125
455000,141
456000,125
457000,125
458000,140
459000,140
460000,140
461000,156
462000,125
463000,141
464000,140
465000,125
466000,109
467000,140
468000,125
469000,141
470000,141
471000,125
472000,125
473000,125
474000,360
475000,157
476000,156
477000,141
478000,156
479000,187
480000,156
481000,140
482000,140
483000,156
484000,140
485000,125
486000,140
487000,125
488000,125
489000,141
490000,141
491000,156
492000,125
493000,125
494000,125
495000,125
496000,156
497000,141
498000,140
499000,125
500000,141
