array_size,shellTime
1000,0.6
2000,1.1
3000,1
4000,0.5
5000,0.6
6000,2
7000,2
8000,2.7
9000,2.9
10000,3.9
11000,1.8
12000,0.4
13000,3.6
14000,5.3
15000,5.3
16000,7.5
17000,4.7
18000,12
19000,5.4
20000,6.6
21000,12.2
22000,12.4
23000,6.3
24000,8.5
25000,13.4
26000,13.2
27000,13
28000,9.6
29000,12.8
30000,13.1
31000,5.5
32000,17
33000,23
34000,19.8
35000,12.9
36000,15.3
37000,16.7
38000,14.6
39000,19.3
40000,23.2
41000,25.1
42000,22.6
43000,20.1
44000,16.2
45000,25.7
46000,17.3
47000,23.1
48000,24.3
49000,21.6
50000,27.5
50000,66
51000,35
52000,14
53000,18
54000,16
55000,26
56000,27
57000,18
58000,18
59000,16
60000,20
61000,32
62000,33
63000,30
64000,35
65000,28
66000,32
67000,34
68000,18
69000,33
70000,33
71000,29
72000,31
73000,34
74000,35
75000,46
76000,38
77000,33
78000,32
79000,31
80000,35
81000,38
82000,51
83000,38
84000,52
85000,33
86000,31
87000,37
88000,34
89000,33
90000,49
91000,51
92000,33
93000,37
94000,50
95000,34
96000,51
97000,32
98000,50
99000,69
100000,52
101000,48
102000,48
103000,50
104000,70
105000,49
106000,49
107000,50
108000,48
109000,51
110000,48
111000,50
112000,45
113000,51
114000,48
115000,51
116000,51
117000,52
118000,52
119000,68
120000,49
121000,65
122000,53
123000,82
124000,67
125000,54
126000,50
127000,69
128000,90
129000,72
130000,83
131000,66
132000,87
133000,55
134000,71
135000,65
136000,65
137000,67
138000,65
139000,66
140000,65
141000,69
142000,67
143000,69
144000,65
145000,67
146000,103
147000,68
148000,73
149000,75
150000,86
151000,71
152000,81
153000,78
154000,83
155000,68
156000,102
157000,81
158000,70
159000,69
160000,86
161000,71
162000,68
163000,83
164000,107
165000,77
166000,93
167000,82
168000,101
169000,134
170000,90
171000,89
172000,87
173000,86
174000,66
175000,82
176000,96
177000,85
178000,88
179000,88
180000,89
181000,84
182000,85
183000,89
184000,85
185000,101
186000,90
187000,104
188000,84
189000,86
190000,101
191000,117
192000,101
193000,80
194000,89
195000,83
196000,101
197000,114
198000,88
199000,104
200000,84
201000,99
202000,98
203000,101
204000,78
205000,138
206000,86
207000,101
208000,99
209000,99
210000,98
211000,115
212000,103
213000,206
214000,121
215000,110
216000,98
217000,116
218000,104
219000,106
220000,100
221000,116
222000,133
223000,118
224000,106
225000,105
226000,116
227000,113
228000,116
229000,98
230000,116
231000,120
232000,135
233000,110
234000,120
235000,101
236000,131
237000,135
238000,120
239000,119
240000,116
241000,133
242000,108
243000,117
244000,167
245000,117
246000,132
247000,116
248000,135
249000,119
250000,137
251000,148
252000,129
253000,115
254000,151
255000,145
256000,187
257000,109
258000,117
259000,119
260000,119
261000,122
262000,133
263000,137
264000,132
265000,151
266000,147
267000,151
268000,131
269000,145
270000,158
271000,147
272000,150
273000,131
274000,171
275000,130
276000,130
277000,149
278000,154
279000,166
280000,143
281000,132
282000,182
283000,150
284000,151
285000,194
286000,131
287000,165
288000,163
289000,188
290000,137
291000,172
292000,166
293000,147
294000,150
295000,278
296000,163
297000,166
298000,214
299000,132
300000,180
301000,163
302000,183
303000,144
304000,162
305000,146
306000,172
307000,150
308000,150
309000,163
310000,165
311000,136
312000,171
313000,166
314000,159
315000,151
316000,183
317000,169
318000,153
319000,165
320000,192
321000,147
322000,180
323000,172
324000,169
325000,171
326000,182
327000,167
328000,202
329000,181
330000,172
331000,153
332000,164
333000,164
334000,168
335000,156
336000,213
337000,195
338000,181
339000,167
340000,230
341000,176
342000,183
343000,167
344000,181
345000,198
346000,177
347000,161
348000,181
349000,180
350000,181
351000,168
352000,231
353000,183
354000,184
355000,183
356000,209
357000,185
358000,193
359000,166
360000,188
361000,212
362000,215
363000,191
364000,192
365000,201
366000,203
367000,191
368000,182
369000,198
370000,182
371000,186
372000,179
373000,228
374000,219
375000,202
376000,224
377000,240
378000,201
379000,183
380000,207
381000,212
382000,198
383000,231
384000,245
385000,195
386000,203
387000,203
388000,196
389000,231
390000,202
391000,185
392000,201
393000,197
394000,265
395000,217
396000,218
397000,235
398000,203
399000,218
400000,231
401000,184
402000,213
403000,200
404000,213
405000,215
406000,218
407000,216
408000,219
409000,218
410000,252
411000,228
412000,201
413000,213
414000,204
415000,215
416000,210
417000,189
418000,223
419000,215
420000,235
421000,209
422000,232
423000,204
424000,227
425000,202
426000,468
427000,237
428000,251
429000,220
430000,219
431000,222
432000,214
433000,236
434000,233
435000,233
436000,246
437000,221
438000,215
439000,233
440000,231
441000,229
442000,247
443000,237
444000,247
445000,232
446000,273
447000,220
448000,264
449000,217
450000,264
451000,257
452000,215
453000,230
454000,245
455000,229
456000,250
457000,234
458000,249
459000,301
460000,303
461000,246
462000,239
463000,290
464000,238
465000,229
466000,236
467000,279
468000,281
469000,282
470000,259
471000,243
472000,260
473000,230
474000,232
475000,240
476000,266
477000,263
478000,273
479000,235
480000,280
481000,251
482000,267
483000,226
484000,255
485000,247
486000,260
487000,443
488000,470
489000,314
490000,282
491000,288
492000,344
493000,359
494000,265
495000,265
496000,282
497000,297
498000,266
499000,250
500000,273
