array_size	shellTime	quikcTime	selectionTime
1000	0.3	3.5	6.125
2000	1	8.6	24.5
3000	2.1	28.8	56.5
4000	1.7	34.1	101.5
5000	2.9	22.7	180
6000	2.3	28.1	263
7000	1.8	36.8	360.5
8000	2.6	36.4	417.5
9000	3.7	31.1	416.5
10000	1.6	33.5	632
11000	3.7	34.3	831
12000	3.2	38.6	866.5
13000	3.3	39.2	1139
14000	1.1	37.3	1230
15000	2	45.4	1367
16000	1.7	40	1555
17000	5.1	46.2	1764.5
18000	4	46.2	1985
19000	3.7	54.1	2165
20000	5.3	73.5	2633.5
21000	5.5	75.9	2663.5
22000	5.5	75.2	2983.5
23000	5.9	75.8	3354
24000	4.5	66	3511.5
25000	5.1	62	3903
26000	7.3	68.7	4033.5
27000	8.9	92.3	4090
28000	7.5	99	4685.5
29000	9.7	96	5097
30000	6.7	92.6	5384.5
31000	11.8	106.9	5865.5
32000	3.8	94.6	6139.5
33000	9.4	93.5	6500
34000	12.7	84	6989.5
35000	10.8	109.6	7088
36000	6.6	114.3	7691
37000	5.2	114.3	7941
38000	9.3	117.1	8395.5
39000	6.8	114.6	9189.5
40000	9.9	136	6682
41000	10.1	121.7	6115.5
42000	16.3	153	6447
43000	18.1	137.4	10229
44000	17.8	129.1	6046.5
45000	16	139.1	9964.5
46000	16.4	135	11824.5
47000	12.7	153.8	13199
48000	16.6	148.7	16459.5
49000	19	148.5	16486.5
50000	14.6	162.7	16573
51000	16	78	15931.125
52000	15	79	16562
53000	16	78	17205.125
54000	15	109	17860.5
55000	16	78	18528.125
56000	16	78	19208
57000	16	94	19900.125
58000	16	78	20604.5
59000	15	94	21321.125
60000	15	94	22050
61000	0	94	22791.125
62000	15	109	23544.5
63000	16	109	24310.125
64000	16	109	25088
65000	0	110	25878.125
66000	16	110	26680.5
67000	0	125	27495.125
68000	16	125	28322
69000	31	125	29161.125
70000	15	109	30012.5
71000	32	110	30876.125
72000	0	109	31752
73000	16	125	32640.125
74000	16	109	33540.5
75000	16	125	34453.125
76000	16	125	35378
77000	15	141	36315.125
78000	15	125	37264.5
79000	15	141	38226.125
80000	16	125	39200
81000	16	126	40186.125
82000	32	141	41184.5
83000	15	141	42195.125
84000	16	141	43218
85000	16	141	44253.125
86000	15	141	45300.5
87000	15	156	46360.125
88000	16	141	47432
89000	16	172	48516.125
90000	15	156	49612.5
91000	16	156	50721.125
92000	16	156	51842
93000	32	156	52975.125
94000	31	156	54120.5
95000	15	157	55278.125
96000	16	156	56448
97000	15	172	57630.125
98000	16	172	58824.5
99000	31	234	60031.125
100000	31	172	61250
101000	16	172	62481.125
102000	15	171	63724.5
103000	31	172	64980.125
104000	16	188	66248
105000	16	172	67528.125
106000	15	187	68820.5
107000	16	204	70125.125
108000	15	203	71442
109000	33	219	72771.125
110000	15	204	74112.5
111000	16	204	75466.125
112000	15	203	76832
113000	16	203	78210.125
114000	47	188	79600.5
115000	31	203	81003.125
116000	31	187	82418
117000	16	203	83845.125
118000	16	203	85284.5
119000	31	203	86736.125
120000	16	203	88200
121000	31	235	89676.125
122000	15	204	91164.5
123000	31	204	92665.125
124000	16	219	94178
125000	31	219	95703.125
126000	31	204	97240.5
127000	16	203	98790.125
128000	16	219	100352
129000	31	203	101926.125
130000	31	219	103512.5
131000	31	204	105111.125
132000	31	203	106722
133000	16	203	108345.125
134000	31	219	109980.5
135000	31	219	111628.125
136000	32	219	113288
137000	31	219	114960.125
138000	32	219	116644.5
139000	32	218	118341.125
140000	32	219	120050
141000	16	235	121771.125
142000	31	235	123504.5
143000	31	235	125250.125
144000	15	234	127008
145000	31	234	128778.125
146000	31	235	130560.5
147000	32	250	132355.125
148000	31	234	134162
149000	31	250	135981.125
150000	31	235	137812.5
151000	32	250	139656.125
152000	31	265	141512
153000	31	250	143380.125
154000	31	250	145260.5
155000	32	266	147153.125
156000	31	266	149058
157000	31	250	150975.125
158000	32	251	152904.5
159000	31	266	154846.125
160000	32	281	156800
161000	31	297	158766.125
162000	31	282	160744.5
163000	32	266	162735.125
164000	31	266	164738
165000	31	281	166753.125
166000	32	281	168780.5
167000	31	266	170820.125
168000	32	281	172872
169000	32	344	174936.125
170000	31	312	177012.5
171000	31	297	179101.125
172000	32	297	181202
173000	47	297	183315.125
174000	31	297	185440.5
175000	31	313	187578.125
176000	31	313	189728
177000	32	312	191890.125
178000	31	313	194064.5
179000	31	313	196251.125
180000	31	297	198450
181000	47	312	200661.125
182000	32	329	202884.5
183000	31	328	205120.125
184000	31	344	207368
185000	31	328	209628.125
186000	47	344	211900.5
187000	47	344	214185.125
188000	47	359	216482
189000	31	375	218791.125
190000	47	359	221112.5
191000	47	375	223446.125
192000	47	375	225792
193000	31	376	228150.125
194000	31	390	230520.5
195000	47	391	232903.125
196000	32	375	235298
197000	47	390	237705.125
198000	32	406	240124.5
199000	47	359	242556.125
200000	32	360	245000
201000	31	375	247456.125
202000	47	406	249924.5
203000	31	421	252405.125
204000	31	391	254898
