array_size,quikcTime
1000,3.5
2000,8.6
3000,28.8
4000,34.1
5000,22.7
6000,28.1
7000,36.8
8000,36.4
9000,31.1
10000,33.5
11000,34.3
12000,38.6
13000,39.2
14000,37.3
15000,45.4
16000,40
17000,46.2
18000,46.2
19000,54.1
20000,73.5
21000,75.9
22000,75.2
23000,75.8
24000,66
25000,62
26000,68.7
27000,92.3
28000,99
29000,96
30000,92.6
31000,106.9
32000,94.6
33000,93.5
34000,84
35000,109.6
36000,114.3
37000,114.3
38000,117.1
39000,114.6
40000,136
41000,121.7
42000,153
43000,137.4
44000,129.1
45000,139.1
46000,135
47000,153.8
48000,148.7
49000,148.5
50000,162.7
51000,78
52000,79
53000,78
54000,109
55000,78
56000,78
57000,94
58000,78
59000,94
60000,94
61000,94
62000,109
63000,109
64000,109
65000,110
66000,110
67000,125
68000,125
69000,125
70000,109
71000,110
72000,109
73000,125
74000,109
75000,125
76000,125
77000,141
78000,125
79000,141
80000,125
81000,126
82000,141
83000,141
84000,141
85000,141
86000,141
87000,156
88000,141
89000,172
90000,156
91000,156
92000,156
93000,156
94000,156
95000,157
96000,156
97000,172
98000,172
99000,234
100000,172
101000,172
102000,171
103000,172
104000,188
105000,172
106000,187
107000,204
108000,203
109000,219
110000,204
111000,204
112000,203
113000,203
114000,188
115000,203
116000,187
117000,203
118000,203
119000,203
120000,203
121000,235
122000,204
123000,204
124000,219
125000,219
126000,204
127000,203
128000,219
129000,203
130000,219
131000,204
132000,203
133000,203
134000,219
135000,219
136000,219
137000,219
138000,219
139000,218
140000,219
141000,235
142000,235
143000,235
144000,234
145000,234
146000,235
147000,250
148000,234
149000,250
150000,235
151000,250
152000,265
153000,250
154000,250
155000,266
156000,266
157000,250
158000,251
159000,266
160000,281
161000,297
162000,282
163000,266
164000,266
165000,281
166000,281
167000,266
168000,281
169000,344
170000,312
171000,297
172000,297
173000,297
174000,297
175000,313
176000,313
177000,312
178000,313
179000,313
180000,297
181000,312
182000,329
183000,328
184000,344
185000,328
186000,344
187000,344
188000,359
189000,375
190000,359
191000,375
192000,375
193000,376
194000,390
195000,391
196000,375
197000,390
198000,406
199000,359
200000,360
201000,375
202000,406
203000,421
204000,391
205000,406
206000,391
207000,375
208000,406
209000,391
210000,390
211000,390
212000,391
213000,390
214000,406
215000,375
216000,407
217000,406
218000,437
219000,484
220000,406
221000,406
222000,406
223000,406
224000,438
225000,562
226000,484
227000,468
228000,437
229000,437
230000,484
231000,469
232000,422
233000,453
234000,500
235000,438
236000,422
237000,422
238000,437
239000,437
240000,453
241000,437
242000,501
243000,469
244000,468
245000,469
246000,469
247000,469
248000,469
249000,469
250000,485
251000,469
252000,469
253000,468
254000,484
255000,468
256000,484
257000,484
258000,469
259000,484
260000,485
261000,484
262000,500
263000,500
264000,500
265000,500
266000,484
267000,500
268000,500
269000,500
270000,516
271000,516
272000,515
273000,531
274000,500
275000,516
276000,516
277000,547
278000,610
279000,531
280000,532
281000,531
282000,547
283000,578
284000,594
285000,578
286000,657
287000,578
288000,563
289000,563
290000,578
291000,563
292000,641
293000,579
294000,578
295000,578
296000,594
297000,656
298000,687
299000,688
300000,641
301000,687
302000,672
303000,594
304000,594
305000,625
306000,625
307000,609
308000,625
309000,626
310000,610
311000,609
312000,625
313000,657
314000,625
315000,625
316000,641
317000,640
318000,641
319000,641
320000,640
321000,656
322000,641
323000,657
324000,719
325000,797
326000,750
327000,703
328000,750
329000,750
330000,656
331000,860
332000,688
333000,656
334000,672
335000,672
336000,766
337000,735
338000,797
339000,750
340000,750
341000,719
342000,703
343000,703
344000,687
345000,703
346000,703
347000,719
348000,703
349000,734
350000,750
351000,781
352000,750
353000,782
354000,719
355000,734
356000,812
357000,781
358000,766
359000,735
360000,750
361000,734
362000,751
363000,750
364000,735
365000,766
366000,751
367000,750
368000,750
369000,782
370000,781
371000,782
372000,766
373000,750
374000,782
375000,875
376000,891
377000,891
378000,796
379000,812
380000,797
381000,781
382000,812
383000,813
384000,875
385000,859
386000,844
387000,829
388000,813
389000,813
390000,797
391000,828
392000,828
393000,828
394000,813
395000,812
396000,985
397000,938
398000,938
399000,906
400000,938
401000,875
402000,859
403000,875
404000,891
405000,875
406000,860
407000,860
408000,860
409000,875
410000,875
411000,860
412000,875
413000,860
414000,859
415000,875
416000,1031
417000,922
418000,922
419000,922
420000,891
421000,891
422000,906
423000,937
424000,937
425000,922
426000,922
427000,906
428000,907
429000,922
430000,922
431000,907
432000,953
433000,937
434000,922
435000,938
436000,938
437000,922
438000,937
439000,938
440000,953
441000,953
442000,969
443000,984
444000,969
445000,968
446000,969
447000,969
448000,985
449000,954
450000,985
451000,1016
452000,1016
453000,1047
454000,1031
455000,1078
456000,1157
457000,1109
458000,1047
459000,1047
460000,1015
461000,1079
462000,1000
463000,1016
464000,1031
465000,1079
466000,1140
467000,1078
468000,1047
469000,1047
470000,1000
471000,1015
472000,1166
473000,1129
474000,1068
475000,1079
476000,1094
477000,1110
478000,1094
479000,1063
480000,1094
481000,1094
482000,1047
483000,1079
484000,1094
485000,1094
486000,1047
487000,1094
488000,1109
489000,1079
490000,1156
491000,1078
492000,1094
493000,1094
494000,1125
495000,1079
496000,1109
497000,1109
498000,1126
499000,1125
500000,1151
