array_size,selectionTime,,
1000,6.125,,1
2000,24.5,,2
3000,56.5,,3
4000,101.5,,4
5000,180,,5
6000,263,,6
7000,360.5,,7
8000,417.5,,8
9000,416.5,,9
10000,632,,10
11000,831,,11
12000,866.5,,12
13000,1139,,13
14000,1230,,14
15000,1367,,15
16000,1555,,16
17000,1764.5,,17
18000,1985,,18
19000,2165,,19
20000,2633.5,,20
21000,2663.5,,21
22000,2983.5,,22
23000,3354,,23
24000,3511.5,,24
25000,3903,,25
26000,4033.5,,26
27000,4090,,27
28000,4685.5,,28
29000,5097,,29
30000,5384.5,,30
31000,5865.5,,31
32000,6139.5,,32
33000,6500,,33
34000,6989.5,,34
35000,7088,,35
36000,7691,,36
37000,7941,,37
38000,8395.5,,38
39000,9189.5,,39
40000,6682,,40
41000,6115.5,,41
42000,6447,,42
43000,10229,,43
44000,6046.5,,44
45000,9964.5,,45
46000,11824.5,,46
47000,13199,,47
48000,16459.5,,48
49000,16486.5,,49
50000,16573,,50
51000,15931.125,,51
52000,16562,,52
53000,17205.125,,53
54000,17860.5,,54
55000,18528.125,,55
56000,19208,,56
57000,19900.125,,57
58000,20604.5,,58
59000,21321.125,,59
60000,22050,,60
61000,22791.125,,61
62000,23544.5,,62
63000,24310.125,,63
64000,25088,,64
65000,25878.125,,65
66000,26680.5,,66
67000,27495.125,,67
68000,28322,,68
69000,29161.125,,69
70000,30012.5,,70
71000,30876.125,,71
72000,31752,,72
73000,32640.125,,73
74000,33540.5,,74
75000,34453.125,,75
76000,35378,,76
77000,36315.125,,77
78000,37264.5,,78
79000,38226.125,,79
80000,39200,,80
81000,40186.125,,81
82000,41184.5,,82
83000,42195.125,,83
84000,43218,,84
85000,44253.125,,85
86000,45300.5,,86
87000,46360.125,,87
88000,47432,,88
89000,48516.125,,89
90000,49612.5,,90
91000,50721.125,,91
92000,51842,,92
93000,52975.125,,93
94000,54120.5,,94
95000,55278.125,,95
96000,56448,,96
97000,57630.125,,97
98000,58824.5,,98
99000,60031.125,,99
100000,61250,,100
101000,62481.125,,101
102000,63724.5,,102
103000,64980.125,,103
104000,66248,,104
105000,67528.125,,105
